index,answer,correct_answer,score,correct
1347,David Hasselhoff,David Hasselhoff,1,TRUE
1348,Arnold Schwartzeneger,Arnold Schwarzenegger,0.988,TRUE
1349,Candice Burgen,Candice Bergen,0.974,TRUE
1350,Jonny Depp,Johnny Depp,0.975,TRUE
1351,Josh Brolin,Josh Brolin,1,TRUE
1352,David Schwimmer,David Schwimmer,1,TRUE
1353,Dennis Leary,Denis Leary,0.979,TRUE
1354,Billy Crystal,Billy Crystal,1,TRUE
1355,Jennifer Lawrence,Jennifer Lawrence,1,TRUE
1356,John Travolta,John Travolta,1,TRUE
1357,Tom Hanks,Tom Hanks,1,TRUE
1358,Ben Kingsley,Ben Kingsley,1,TRUE
1359,,Rob Schneider,0,FALSE
1360,John Malcovitch,John Malkovich,0.944,TRUE
1361,Sylvester Stalone,Sylvester Stallone,0.996,TRUE
1362,Elizabeth Shue,Elisabeth Shue,0.963,TRUE
1363,Helena Bonham Carter,Helena Bonham Carter,1,TRUE
1364,John Leguzamo,John Leguizamo,0.991,TRUE
1365,Mike Myers,Mike Myers,1,TRUE
1366,Dustin Hoffman,Dustin Hoffman,1,TRUE
1367,,Elliott Gould,0,FALSE
1368,Christopher Plummer,Christopher Plummer,1,TRUE
1369,Andie Mcdowell,Andie MacDowell,0.964,TRUE
1370,,Kathy Bates,0,FALSE
1371,Macauly Caulkin,Macaulay Culkin,0.973,TRUE
1372,James Gandolfini,James Gandolfini,1,TRUE
1373,Jamie Bell,Jamie Bell,1,TRUE
1374,Kirstin Dunst,Scarlett Johansson,0.595,FALSE
1375,James Woods,James Woods,1,TRUE
1376,Benecio Del Toro,Benicio Del Toro,0.93,TRUE
1377,Steve Correll,Steve Carell,0.964,TRUE
1378,Daryl Hannah,Daryl Hannah,1,TRUE
1379,Michael Douglas,Michael Douglas,1,TRUE
1380,,Tim Blake Nelson,0,FALSE
1381,George Lopez,George Lopez,1,TRUE
1382,Orlando  Bloom,Orlando Bloom,1,TRUE
1383,Alfred Molina,Alfred Molina,1,TRUE
1384,Geoffrey Rush,Geoffrey Rush,1,TRUE
1385,Jim Carrey,Jim Carrey,1,TRUE
1386,Tilda Swinton,Tilda Swinton,1,TRUE
1387,Jennifer Lopez,Jennifer Lopez,1,TRUE
1388,Elizabeth Shue,Elizabeth Perkins,0.922,TRUE
1389,Chris Rock,Chris Rock,1,TRUE
1390,Jim Balushi,Jim Belushi,0.967,TRUE
1391,Kim Bassenger,Kim Basinger,0.95,TRUE
1392,Francis Mcdormand,Frances McDormand,0.898,TRUE
1393,Gene Hackman,Gene Hackman,1,TRUE
1394,Laura Dern,Laura Dern,1,TRUE
1395,Jack Black,Jack Black,1,TRUE
1396,Nathan lane,Nathan Lane,1,TRUE
1397,Ian HOlm,Ian Holm,1,TRUE
1398,Angelina Joli,Angelina Jolie,0.998,TRUE
1399,Burt Reynolds,Burt Reynolds,1,TRUE
1400,Emily Blunt,Emily Blunt,1,TRUE
1401,Elijah Wood,Elijah Wood,1,TRUE
1402,Matt Damon,Matt Damon,1,TRUE
1403,Antonio Banderia,Antonio Banderas,0.995,TRUE
1404,Daniel Craig,Daniel Craig,1,TRUE
1405,Kurt Russel,Kurt Russell,0.998,TRUE
1406,Robert De Niro,Robert De Niro,1,TRUE
1407,Samuel L Jackson,Samuel L. Jackson,0.99,TRUE
1408,Dennis Miller,Dennis Miller,1,TRUE
1409,John Hardy,Tom Hardy,0.826,FALSE
1410,Natalie Portman,Natalie Portman,1,TRUE
1411,Anette Benning,Annette Bening,0.937,TRUE
1412,Angelina Jolie,Angelina Jolie,1,TRUE
1413,Christopher Walken,Christopher Walken,1,TRUE
1414,Charlise Theron,Charlize Theron,0.973,TRUE
1415,Ralph Finnes,Ralph Fiennes,0.979,TRUE
1416,Javier Bardem,Javier Bardem,1,TRUE
1417,Glenn Close,Glenn Close,1,TRUE
1418,Nicholas  Cage,Nicholas Cage,1,TRUE
1419,,Kyle MacLachlan,0,FALSE
1420,Kira Knightly,Keira Knightley,0.959,TRUE
1421,Holly Hunter,Holly Hunter,1,TRUE
1422,Daniel Day Lewis,Daniel Day-Lewis,0.984,TRUE
1423,Tom Hardy,Tom Hardy,1,TRUE
1424,Catherine Zeta Jones,Catherine Zeta-Jones,0.99,TRUE
1425,David Spade,David Spade,1,TRUE
1426,Maggie Jylenhall,Maggie Gyllenhaal,0.939,TRUE
1427,Kristen Scott Thomas,Kristin Scott Thomas,0.975,TRUE
1428,Jennifer Lawrence,Jennifer Lawrence,1,TRUE
1429,Martin Lawrence,Martin Lawrence,1,TRUE
1430,Anthony Hopkins,Anthony Hopkins,1,TRUE
1431,Ed Burns,Ed Burns,1,TRUE
1432,Bradley Cooper,Bradley Cooper,1,TRUE
1433,Winona Rider,Winona Ryder,0.981,TRUE
1434,,Laura Linney,0,FALSE
1435,Andie MacDowell,Andie MacDowell,1,TRUE
1436,Tim Robbins,Tim Robbins,1,TRUE
1437,Kurt Russel,Kurt Russell,0.998,TRUE
1438,Helen Hunt,Helen Hunt,1,TRUE
1439,Andy Garcia,Andy Garcia,1,TRUE
1440,Lucy Liu,Lucy Liu,1,TRUE
1441,Burt Reynolds,Burt Reynolds,1,TRUE
1442,Viggo Mortensen,Viggo Mortensen,1,TRUE
1443,Paul Rudd,Paul Rudd,1,TRUE
1444,Bridgette Fonda,Bridget Fonda,0.976,TRUE
1445,Dennis Leary,Denis Leary,0.979,TRUE
1446,Debora Winger,Debra Winger,0.98,TRUE
1447,Robert Duval,Robert Duvall,0.998,TRUE
1448,Michael Fasbender,Michael Fassbender,0.993,TRUE
1449,Sam Worthington,Sam Worthington,1,TRUE
1450,Matt Damon,Matt Damon,1,TRUE
1451,Ellen ,Ellen Page,0.947,TRUE
1452,Sarah Jesica Parker,Sarah Jessica Parker,0.991,TRUE
1453,Kate Winslet,Kate Winslet,1,TRUE
1454,Harrison Ford,Harrison Ford,1,TRUE
1455,Tia Lenoi,Tea Leoni,0.896,TRUE
1456,Drew Barrymore,Drew Barrymore,1,TRUE
1457,Jennifer Lopez,Jennifer Lopez,1,TRUE
1458,,Goldie Hawn,0,FALSE
1459,John Kusack,John Cusack,0.967,TRUE
1460,Daniel Craig,Daniel Craig,1,TRUE
1461,Bill Muray,Bill Murray,0.992,TRUE
1462,Jeffrey Right,Jeffrey Wright,0.969,TRUE
1463,Rene Russo,Rene Russo,1,TRUE
1464,Juliette Binoche,Juliette Binoche,1,TRUE
1465,Colin Firth,Colin Firth,1,TRUE
1466,Edward Norton,Edward Norton,1,TRUE
1467,Hugh Jackman,Hugh Jackman,1,TRUE
1468,Catherine Keener,Catherine Keener,1,TRUE
1469,,Meryl Streep,0,FALSE
1470,,Peter Gallagher,0,FALSE
1471,Steve Carrel,Steve Carell,0.986,TRUE
