0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
70.0,114.0,97.0,110.0,107.0,32.0,76.0,97.0,110.0,103.0,101.0,108.0,108.0,97.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,102.0,Frank Langella,Frank Langella,1.0,0.0
66.0,108.0,97.0,105.0,114.0,32.0,85.0,110.0,100.0,101.0,114.0,119.0,111.0,111.0,100.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,32.0,Blair Underwood,Blair Underwood,1.0,0.0
66.0,114.0,97.0,100.0,32.0,80.0,105.0,116.0,116.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,34.0,Brad Pitt,Brad Pitt,1.0,0.0
67.0,111.0,108.0,105.0,110.0,32.0,70.0,105.0,114.0,116.0,104.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,60.0,Colin Firth,Colin Firth,1.0,0.0
67.0,104.0,114.0,105.0,115.0,116.0,105.0,97.0,110.0,32.0,83.0,108.0,97.0,116.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,53.0,Christian Slater,Christian Slater,1.0,0.0
68.0,114.0,101.0,119.0,32.0,66.0,97.0,114.0,114.0,121.0,109.0,111.0,114.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,80.0,Drew Barrymore,Drew Barrymore,1.0,0.0
67.0,97.0,116.0,101.0,114.0,105.0,110.0,101.0,32.0,90.0,101.0,116.0,97.0,32.0,74.0,111.0,110.0,101.0,115.0,32.0,32.0,32.0,32.0,32.0,95.7,46.0,Caterine Zeta Jones,Catherine Zeta-Jones,0.9570000000000001,0.0
83.0,97.0,109.0,32.0,83.0,104.0,101.0,112.0,97.0,114.0,100.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,277.0,Sam Shepard,Sam Shepard,1.0,0.0
66.0,114.0,111.0,111.0,107.0,32.0,83.0,104.0,105.0,101.0,108.0,100.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,95.2,39.0,Brook Shields,Brooke Shields,0.9520000000000001,0.0
68.0,97.0,110.0,105.0,101.0,108.0,32.0,82.0,97.0,100.0,99.0,105.0,108.0,102.0,102.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.3,64.0,Daniel Radcilffe,Daniel Radcliffe,0.993,0.0
84.0,111.0,98.0,121.0,32.0,77.0,99.0,71.0,117.0,105.0,114.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,89.8,301.0,Toby McGuire,Tobey Maguire,0.898,0.0
65.0,108.0,101.0,99.0,32.0,66.0,97.0,108.0,100.0,119.0,105.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,8.0,Alec Baldwin,Alec Baldwin,1.0,0.0
84.0,105.0,97.0,32.0,76.0,101.0,111.0,110.0,105.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,93.3,296.0,Tia Leoni,Tea Leoni,0.9329999999999999,0.0
77.0,97.0,114.0,121.0,32.0,76.0,111.0,117.0,105.0,115.0,101.0,32.0,80.0,97.0,114.0,107.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,92.5,215.0,Mary Louise Parker,Mary-Louise Parker,0.925,0.0
74.0,97.0,109.0,101.0,115.0,32.0,71.0,97.0,110.0,100.0,111.0,108.0,102.0,105.0,110.0,105.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,130.0,James Gandolfini,James Gandolfini,1.0,0.0
